ÈÕÆÚ,Ê±¼ä,ºÏÔ¼´úÂë,Âò/Âô,¿ª/Æ½,³É½»Á¿,³É½»¼Û,ÊÖÐø·Ñ
2025-07-03,14:50:00,512980.SS,Âò,-,2600.000,0.845,5.000
2025-07-04,14:50:00,512980.SS,Âò,-,6100.000,0.853,5.000
2025-07-07,14:50:00,512980.SS,Âô,-,8700.000,0.854,5.944
2025-07-07,14:50:00,511880.SS,Âô,-,200.000,100.693,16.111
2025-07-07,14:50:00,510300.SS,Âò,-,4900.000,4.015,15.739
2025-07-07,14:50:00,512100.SS,Âò,-,1400.000,2.551,5.000
2025-07-07,14:50:00,512800.SS,Âò,-,2300.000,0.893,5.000
2025-07-07,14:50:00,518880.SS,Âò,-,1000.000,7.354,5.883
2025-07-07,14:50:00,563300.SS,Âò,-,1300.000,1.152,5.000
2025-07-15,14:50:00,518880.SS,Âô,-,2700.000,7.438,16.066
2025-07-15,14:50:00,511880.SS,Âô,-,100.000,100.707,8.057
2025-07-15,14:50:00,510300.SS,Âò,-,900.000,4.078,5.000
2025-07-15,14:50:00,510500.SS,Âò,-,3700.000,6.074,17.979
2025-07-15,14:50:00,512100.SS,Âò,-,1500.000,2.598,5.000
